"ID","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent.y","eTIV.y"
"78_SKYRA.long.template_78",1012,931,2491,2025,324,3086,5732,3662,1071,5301,3051,3496,2258,3912,635,1735,1464,1102,1713,2092,4069,1459,5425,4731,782,7887,8100,6245,4395,4005,318,532,419,2859,98319.4,1294346,1731610.51133,1002,743,2821,1934,372,3511,4961,3417,1081,5693,3073,3758,2023,3501,726,1546,1710,900,1827,1928,4459,1279,5421,4981,995,7954,8667,6204,4424,4060,266,530,484,2936,99186,1294346,1731610.51133
"79_VERIO.long.template_79",783,696,2134,2033,375,3338,6722,3848,1039,6497,3022,2969,2206,3548,622,1431,1384,1103,1779,1623,4217,1206,4720,4389,677,6896,8146,5556,3710,4024,385,504,368,2168,94105.9,1237781,1566085.40178,940,710,2426,1811,458,3252,4785,3962,1170,6770,2789,3357,2205,3329,619,1525,1813,745,1421,1436,4353,1252,5366,4054,985,5872,8322,5938,4295,4310,287,488,642,2391,94076.4,1237781,1566085.40178
"79_SKYRA.long.template_79",797,680,2092,1996,376,3379,6705,3865,1027,6604,3014,3036,2283,3511,609,1329,1379,1098,1728,1623,3955,1200,4575,4371,696,6843,7839,5478,3642,4024,398,545,383,2175,93255.5,1217377,1566085.40178,952,694,2352,1818,456,3205,4823,3986,1177,6865,2815,3480,2230,3319,625,1466,1802,731,1410,1434,4174,1261,5213,3989,969,5816,8005,5784,4265,4218,289,521,634,2371,93147.7,1217377,1566085.40178
"80_VERIO.long.template_80",860,536,2871,1752,278,2918,6007,3430,1061,4973,2850,3901,2144,4054,590,1574,1274,903,1370,1768,4155,1366,6134,4154,485,6478,7709,6230,3842,3395,319,469,354,2412,92619.7,1232913,1625957.04932,1208,593,2598,1797,353,3286,5204,3298,1029,5289,3112,3490,2186,3293,723,1484,1768,738,1564,1460,4540,1383,5514,4064,726,6054,7587,6079,3928,4446,273,482,463,2441,92453.1,1232913,1625957.04932
"80_SKYRA.long.template_80",881,518,2860,1733,285,2927,6205,3458,1037,5148,2888,3977,2163,4081,575,1505,1299,891,1344,1794,4062,1352,5912,4157,489,6433,7571,6332,3828,3436,314,482,342,2358,92634.4,1227764,1625957.04932,1225,595,2594,1808,323,3275,5331,3358,1047,5519,3115,3584,2071,3274,709,1433,1716,703,1535,1492,4354,1354,5256,4062,685,5931,7326,6172,3982,4516,279,474,457,2402,91956.1,1227764,1625957.04932
"81_VERIO.long.template_81",1010,743,3041,1364,332,2585,5036,2919,944,4393,2769,3355,2013,3415,619,1409,1548,850,1502,1585,3966,1164,4948,3720,655,5970,7186,5487,3188,3238,297,519,297,2552,84619.3,1101517,1452494.20705,1013,754,2568,1316,378,2757,4219,3518,940,4246,2919,3108,2010,3046,615,1433,1709,716,1331,1520,4449,1504,5212,3763,818,5517,7560,4599,3417,3245,206,475,350,2294,83518.3,1101517,1452494.20705
"81_SKYRA.long.template_81",1041,726,2985,1364,329,2598,5148,2951,929,4545,2748,3393,1979,3436,617,1386,1551,811,1492,1611,3898,1137,4872,3718,653,5946,6979,5549,3178,3253,290,524,300,2548,84484.6,1083296,1452494.20705,1036,726,2518,1277,382,2782,4336,3515,952,4410,2880,3141,1975,3088,613,1390,1703,693,1295,1556,4291,1456,5073,3796,816,5454,7292,4593,3355,3247,213,490,360,2275,82973.1,1083296,1452494.20705
"82_VERIO.long.template_82",859,726,2360,1546,500,3386,5578,4024,922,5367,3100,3568,1999,3760,601,1424,1497,853,1612,1775,3949,1195,4594,4264,764,5626,7705,5171,3299,3386,304,498,331,2247,88787.6,1216631,1584515.0523,1116,584,2207,1509,522,3670,4748,3531,984,5128,2939,2850,1716,3143,808,1472,1524,702,1240,1405,4418,1350,4875,3675,867,5641,8554,4902,3856,4544,256,520,475,2369,88098.4,1216631,1584515.0523
"82_SKYRA.long.template_82",881,710,2383,1566,474,3365,5612,4069,934,5469,2885,3524,1907,3719,592,1381,1481,840,1572,1774,3754,1194,4495,4192,743,5718,7625,5174,3243,3359,308,450,331,2270,87993.5,1193273,1584515.0523,1143,581,2222,1545,461,3695,4807,3538,985,5218,2971,2953,1646,3143,789,1432,1519,685,1234,1435,4273,1344,4757,3624,829,5689,8366,4872,3825,4502,265,514,461,2301,87624.3,1193273,1584515.0523
"83_VERIO.long.template_83",1019,729,1945,1705,405,3778,6484,3470,1176,5191,3087,3203,2051,4185,812,1611,1764,1022,2247,1619,4154,1520,4784,5106,819,7785,8570,5831,3868,3927,378,425,338,2863,97870.8,1234755,1563585.28242,1161,536,2109,1621,378,3577,5133,4252,1140,5372,3143,3184,2206,4194,831,1384,1922,910,1963,1636,3970,1238,4487,4688,974,7210,9251,4333,4300,3601,320,447,378,2599,94446.6,1234755,1563585.28242
